               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.018804,            0.076086,                   0,                   1,                   1,             0.99608,             0.88823,            0.011844,            0.041355,                   0,           0.0077785,           0.0077785,           0.0077785
                  55,            0.018508,            0.074018,                   0,                   1,             0.99999,             0.99668,             0.89548,            0.011519,            0.042981,                   0,           0.0077031,           0.0077031,           0.0077031
                  56,            0.018128,            0.074948,                   0,             0.99947,                   1,             0.99676,              0.8962,            0.011131,             0.03962,                   0,           0.0076269,           0.0076269,           0.0076269
                  57,            0.017966,            0.074641,                   0,                   1,                   1,             0.99686,             0.89929,            0.010571,            0.037651,                   0,           0.0075501,           0.0075501,           0.0075501
                  58,            0.017776,            0.073322,                   0,                   1,                   1,             0.99694,             0.91023,            0.010018,            0.037602,                   0,           0.0074725,           0.0074725,           0.0074725
                  59,            0.017591,            0.071429,                   0,                   1,                   1,             0.99691,             0.91444,           0.0096913,            0.037443,                   0,           0.0073943,           0.0073943,           0.0073943
                  60,            0.017647,            0.072362,                   0,                   1,                   1,             0.99705,             0.90837,            0.010252,            0.039452,                   0,           0.0073155,           0.0073155,           0.0073155
                  61,            0.016865,              0.0704,                   0,                   1,                   1,             0.99671,             0.92508,           0.0091921,             0.03553,                   0,           0.0072361,           0.0072361,           0.0072361
                  62,            0.017105,            0.071222,                   0,                   1,             0.99948,             0.99593,              0.9137,            0.010044,            0.038232,                   0,           0.0071561,           0.0071561,           0.0071561
                  63,            0.017447,            0.070469,                   0,                   1,                   1,             0.99735,             0.92518,            0.009463,              0.0359,                   0,           0.0070757,           0.0070757,           0.0070757
                  64,            0.017376,            0.072154,                   0,                   1,                   1,             0.99698,             0.90551,            0.010291,            0.039014,                   0,           0.0069948,           0.0069948,           0.0069948
                  65,            0.016799,            0.068956,                   0,                   1,                   1,             0.99718,             0.91493,           0.0097852,             0.03718,                   0,           0.0069134,           0.0069134,           0.0069134
                  66,            0.017069,            0.072161,                   0,                   1,                   1,             0.99762,             0.93034,           0.0087318,            0.033692,                   0,           0.0068316,           0.0068316,           0.0068316
                  67,            0.017316,            0.070075,                   0,                   1,                   1,             0.99707,             0.91962,           0.0092959,            0.035022,                   0,           0.0067495,           0.0067495,           0.0067495
                  68,            0.016781,            0.068922,                   0,                   1,                   1,             0.99715,               0.923,           0.0094973,            0.036647,                   0,           0.0066671,           0.0066671,           0.0066671
                  69,            0.016378,            0.068608,                   0,                   1,                   1,             0.99719,             0.92139,            0.009411,            0.037703,                   0,           0.0065843,           0.0065843,           0.0065843
                  70,            0.016201,            0.068457,                   0,                   1,                   1,             0.99699,             0.92113,           0.0092729,            0.037105,                   0,           0.0065013,           0.0065013,           0.0065013
                  71,            0.016286,            0.066194,                   0,                   1,             0.99948,               0.997,             0.92438,           0.0087687,            0.035499,                   0,           0.0064181,           0.0064181,           0.0064181
                  72,            0.016358,            0.068908,                   0,                   1,                   1,             0.99746,             0.92418,           0.0091622,             0.03478,                   0,           0.0063347,           0.0063347,           0.0063347
                  73,            0.016134,            0.067501,                   0,             0.99999,                   1,             0.99654,             0.91475,           0.0099656,            0.038179,                   0,           0.0062512,           0.0062512,           0.0062512
                  74,            0.016083,            0.067654,                   0,                   1,                   1,             0.99742,             0.94124,           0.0082579,            0.033454,                   0,           0.0061675,           0.0061675,           0.0061675
                  75,            0.016114,             0.06801,                   0,                   1,                   1,             0.99732,             0.93606,            0.008684,            0.034569,                   0,           0.0060838,           0.0060838,           0.0060838
                  76,            0.016187,            0.069196,                   0,             0.99947,             0.99895,             0.99703,             0.93193,           0.0087269,            0.034361,                   0,               0.006,               0.006,               0.006
                  77,            0.016076,            0.067868,                   0,             0.99895,             0.99948,             0.99711,             0.93627,           0.0086123,            0.032482,                   0,           0.0059162,           0.0059162,           0.0059162
                  78,            0.016012,            0.067895,                   0,                   1,                   1,              0.9967,              0.9238,           0.0089909,            0.033621,                   0,           0.0058325,           0.0058325,           0.0058325
                  79,            0.015757,            0.066164,                   0,                   1,                   1,              0.9965,             0.92726,           0.0091173,             0.03681,                   0,           0.0057488,           0.0057488,           0.0057488
                  80,            0.015744,            0.068201,                   0,                   1,                   1,             0.99635,             0.92906,           0.0085498,            0.033979,                   0,           0.0056653,           0.0056653,           0.0056653
                  81,            0.016258,            0.069751,                   0,                   1,                   1,             0.99791,             0.93878,           0.0081438,            0.031682,                   0,           0.0055819,           0.0055819,           0.0055819
                  82,            0.015548,            0.066404,                   0,             0.99948,                   1,              0.9977,             0.93586,           0.0084239,            0.033571,                   0,           0.0054987,           0.0054987,           0.0054987
                  83,            0.015417,            0.066728,                   0,             0.99895,             0.99947,             0.99711,             0.92989,           0.0087709,            0.034766,                   0,           0.0054157,           0.0054157,           0.0054157
                  84,            0.015007,            0.063118,                   0,                   1,                   1,             0.99746,             0.93596,           0.0085704,            0.033719,                   0,           0.0053329,           0.0053329,           0.0053329
                  85,            0.015069,            0.064392,                   0,             0.99843,             0.99895,             0.99619,             0.91476,            0.010086,             0.04099,                   0,           0.0052505,           0.0052505,           0.0052505
                  86,            0.015408,            0.065431,                   0,                   1,                   1,             0.99742,             0.93422,           0.0086768,            0.033936,                   0,           0.0051684,           0.0051684,           0.0051684
                  87,             0.01528,            0.064738,                   0,                   1,                   1,             0.99702,             0.93327,           0.0084532,             0.03324,                   0,           0.0050866,           0.0050866,           0.0050866
                  88,              0.0149,            0.063719,                   0,                   1,             0.99948,             0.99668,             0.91457,           0.0092037,            0.037132,                   0,           0.0050052,           0.0050052,           0.0050052
                  89,            0.014947,            0.063509,                   0,                   1,                   1,             0.99747,             0.94003,           0.0081489,            0.033265,                   0,           0.0049243,           0.0049243,           0.0049243
                  90,             0.01546,             0.06627,                   0,                   1,                   1,             0.99742,             0.93763,           0.0082082,            0.033037,                   0,           0.0048439,           0.0048439,           0.0048439
                  91,            0.014683,            0.061764,                   0,                   1,                   1,             0.99749,             0.93631,           0.0085572,             0.03409,                   0,           0.0047639,           0.0047639,           0.0047639
                  92,            0.014691,            0.063451,                   0,                   1,                   1,             0.99802,             0.94141,            0.008561,             0.03458,                   0,           0.0046845,           0.0046845,           0.0046845
                  93,            0.014872,            0.064439,                   0,                   1,                   1,             0.99766,             0.94067,           0.0085046,            0.034947,                   0,           0.0046057,           0.0046057,           0.0046057
                  94,            0.014698,            0.062358,                   0,                   1,                   1,             0.99726,             0.92465,           0.0086708,            0.035926,                   0,           0.0045275,           0.0045275,           0.0045275
                  95,            0.014849,            0.063837,                   0,                   1,                   1,             0.99762,             0.94159,           0.0081313,            0.033175,                   0,           0.0044499,           0.0044499,           0.0044499
                  96,            0.014033,            0.061479,                   0,                   1,                   1,             0.99739,             0.93529,            0.008738,            0.035536,                   0,           0.0043731,           0.0043731,           0.0043731
                  97,            0.014765,            0.063566,                   0,                   1,                   1,             0.99788,             0.94693,           0.0079137,            0.032972,                   0,           0.0042969,           0.0042969,           0.0042969
                  98,            0.014143,            0.061749,                   0,                   1,                   1,             0.99731,             0.95036,            0.007777,            0.030968,                   0,           0.0042215,           0.0042215,           0.0042215
                  99,            0.014043,            0.060192,                   0,             0.99895,             0.99948,             0.99665,              0.9474,           0.0077905,            0.032529,                   0,           0.0041468,           0.0041468,           0.0041468
                 100,            0.014001,            0.061118,                   0,                   1,                   1,             0.99731,               0.943,           0.0078842,            0.032147,                   0,            0.004073,            0.004073,            0.004073
                 101,            0.013912,            0.060989,                   0,                   1,                   1,             0.99665,             0.94065,           0.0082913,            0.034801,                   0,               0.004,               0.004,               0.004
                 102,            0.014418,            0.063413,                   0,                   1,                   1,             0.99794,             0.94525,           0.0076786,            0.031988,                   0,           0.0039279,           0.0039279,           0.0039279
                 103,            0.013556,            0.058646,                   0,                   1,                   1,             0.99837,             0.94564,           0.0077392,            0.032494,                   0,           0.0038567,           0.0038567,           0.0038567
                 104,            0.013607,            0.058825,                   0,                   1,                   1,             0.99826,              0.9474,            0.007625,            0.032323,                   0,           0.0037864,           0.0037864,           0.0037864
                 105,            0.013842,            0.059894,                   0,                   1,                   1,             0.99831,             0.94902,           0.0077905,            0.032141,                   0,           0.0037171,           0.0037171,           0.0037171
                 106,            0.013903,            0.061097,                   0,                   1,                   1,             0.99627,             0.93278,           0.0084513,            0.034362,                   0,           0.0036489,           0.0036489,           0.0036489
                 107,            0.014149,            0.061242,                   0,                   1,                   1,             0.99773,             0.93612,           0.0082113,            0.034312,                   0,           0.0035816,           0.0035816,           0.0035816
                 108,             0.01343,            0.058396,                   0,                   1,                   1,             0.99767,             0.94388,           0.0080551,             0.03469,                   0,           0.0035154,           0.0035154,           0.0035154
                 109,             0.01363,             0.05865,                   0,                   1,                   1,             0.99787,             0.95165,            0.007627,            0.032069,                   0,           0.0034503,           0.0034503,           0.0034503
                 110,            0.013764,            0.059769,                   0,                   1,                   1,             0.99701,             0.93463,           0.0084338,            0.035432,                   0,           0.0033863,           0.0033863,           0.0033863
